num_threads,pi,time
1,3.140840,0.202782362699509
2,3.142475,0.106675080955029
3,3.141443,0.072879582643509
4,3.141983,0.065209127962589
5,3.141964,0.065220199525356
6,3.141160,0.057853568345308
7,3.141848,0.053531710058451
8,3.142250,0.053770728409290
9,3.141637,0.056511793285608
10,3.141846,0.053486552089453
11,3.141858,0.055112190544605
12,3.141647,0.054079852998257
13,3.141768,0.054687689989805
14,3.141078,0.051331400871277
15,3.141226,0.048958517611027
16,3.141326,0.052445221692324
17,3.141710,0.048991888761520
18,3.141714,0.048207908868790
19,3.141522,0.048155959695578
20,3.142183,0.047135844826698
21,3.141988,0.047387197613716
22,3.141485,0.046424727886915
23,3.141443,0.047527745366096
24,3.142106,0.048357281833887
25,3.141808,0.047118354588747
26,3.140843,0.046559982001781
27,3.141572,0.046805005520582
28,3.140680,0.048781849443913
29,3.140853,0.046572770923376
30,3.142839,0.046208363026381
31,3.142108,0.046394839882851
32,3.142500,0.045011814683676
