num_points,pi,time
500,2.984000,0.000091
1000,3.180000,0.000165
1500,3.197333,0.000258
2000,3.146000,0.000342
2500,3.080000,0.000419
3000,3.157333,0.000460
3500,3.138286,0.000533
4000,3.105000,0.000563
4500,3.192000,0.000621
5000,3.170400,0.000638
5500,3.135273,0.000688
6000,3.142000,0.000688
6500,3.168000,0.000726
7000,3.130857,0.000741
7500,3.132800,0.000753
8000,3.150000,0.000778
8500,3.150118,0.000780
9000,3.162667,0.000793
9500,3.139368,0.000811
10000,3.156400,0.000808
10500,3.116571,0.000818
11000,3.144727,0.000832
11500,3.144348,0.000831
12000,3.170000,0.000834
12500,3.162880,0.000845
13000,3.145846,0.000850
13500,3.130370,0.000846
14000,3.143714,0.000856
14500,3.156138,0.000861
15000,3.149067,0.000857
15500,3.153032,0.000839
16000,3.137750,0.000852
16500,3.154909,0.000648
17000,3.171294,0.000569
17500,3.153371,0.000572
18000,3.128222,0.000579
18500,3.156324,0.000584
19000,3.145895,0.000592
19500,3.140103,0.000592
20000,3.132400,0.000603
20500,3.147707,0.000602
21000,3.155048,0.000609
21500,3.140093,0.000611
22000,3.165636,0.000616
22500,3.125156,0.000619
23000,3.145391,0.000623
23500,3.149787,0.000632
24000,3.140833,0.000640
24500,3.140735,0.000653
25000,3.153920,0.000654
25500,3.120471,0.000660
26000,3.142000,0.000658
26500,3.133585,0.000670
27000,3.158519,0.000682
27500,3.132945,0.000693
28000,3.150000,0.000709
28500,3.141474,0.000719
29000,3.155862,0.000732
29500,3.134644,0.000742
30000,3.141467,0.000758
30500,3.131016,0.000771
31000,3.138839,0.000821
31500,3.146413,0.000802
32000,3.127125,0.000809
32500,3.141292,0.000819
33000,3.141455,0.000839
33500,3.142687,0.000847
34000,3.141176,0.000856
34500,3.130435,0.000866
35000,3.143086,0.000915
35500,3.153915,0.000903
36000,3.140556,0.000945
36500,3.153096,0.001018
37000,3.144541,0.001106
37500,3.142187,0.000964
38000,3.142000,0.000962
38500,3.144831,0.000977
39000,3.138359,0.000987
39500,3.141266,0.000992
40000,3.156000,0.001008
40500,3.145383,0.001020
41000,3.130634,0.001053
41500,3.142361,0.001167
42000,3.147619,0.001118
42500,3.149553,0.001069
43000,3.142419,0.001126
43500,3.146759,0.001143
44000,3.138000,0.001110
44500,3.135640,0.001144
45000,3.139467,0.001156
45500,3.134681,0.001149
46000,3.143652,0.001251
46500,3.126538,0.001209
47000,3.144766,0.001189
47500,3.139284,0.001219
48000,3.135500,0.001230
48500,3.156371,0.001228
49000,3.126776,0.001258
49500,3.148364,0.001283
50000,3.145600,0.001279
50500,3.136158,0.001331
51000,3.143451,0.001844
51500,3.144621,0.001520
52000,3.131231,0.001482
52500,3.142705,0.001500
53000,3.137509,0.001573
53500,3.127551,0.001534
54000,3.144667,0.001553
54500,3.143927,0.001470
55000,3.138400,0.001491
55500,3.142126,0.001533
56000,3.140643,0.001537
56500,3.135150,0.001494
57000,3.145123,0.001586
57500,3.132661,0.001546
58000,3.148000,0.001553
58500,3.142906,0.001582
59000,3.140678,0.001564
59500,3.135731,0.001572
60000,3.137467,0.001629
60500,3.139041,0.001589
61000,3.143016,0.002461
61500,3.144650,0.002193
62000,3.152452,0.001819
62500,3.144064,0.001733
63000,3.137905,0.001708
63500,3.133795,0.001964
64000,3.156250,0.001784
64500,3.143938,0.001764
65000,3.128923,0.001806
65500,3.152733,0.001796
66000,3.136667,0.001797
66500,3.139910,0.001801
67000,3.139821,0.001777
67500,3.145956,0.001862
68000,3.145353,0.001816
68500,3.142190,0.001763
69000,3.143942,0.001746
69500,3.138072,0.001748
70000,3.147314,0.001759
70500,3.131234,0.002060
71000,3.142028,0.002604
71500,3.146182,0.002950
72000,3.142556,0.002466
72500,3.134731,0.002111
73000,3.132603,0.001987
73500,3.146068,0.002188
74000,3.138216,0.002017
74500,3.147275,0.002034
75000,3.141600,0.002037
75500,3.142517,0.002047
76000,3.145632,0.002101
76500,3.140392,0.002035
77000,3.142026,0.002075
77500,3.147510,0.002043
78000,3.143744,0.002121
78500,3.141758,0.001994
79000,3.134177,0.001992
79500,3.145660,0.002000
80000,3.142550,0.002016
80500,3.136944,0.002072
81000,3.141728,0.002271
81500,3.142429,0.002102
82000,3.136829,0.002072
82500,3.150061,0.002093
83000,3.134120,0.002093
83500,3.150371,0.002122
84000,3.140190,0.002131
84500,3.129136,0.002157
85000,3.137129,0.002249
85500,3.144515,0.002173
86000,3.133907,0.002262
